2023-08-22 16:19:20.883 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:394 | Order details recieved succesfully
2023-08-22 16:19:20.888 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:395 | /api/v1/my-orders Api Executed to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:19:31.292 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:31.299 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:31.303 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:19:31.305 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:19:31.308 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:31.309 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:19:31.312 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:19:31.315 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:19:31.317 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64e44425fd18219d567ee7d1
2023-08-22 16:19:31.366 | ERROR | controllers.cart_controllers | my_orders | cart_controllers.py:374 | No orders present
2023-08-22 16:19:31.385 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:394 | Order details recieved succesfully
2023-08-22 16:19:31.388 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:395 | /api/v1/my-orders Api Executed to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:19:43.891 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:43.893 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:19:43.894 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:19:43.895 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:43.896 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:43.898 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:19:43.899 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
