2023-08-25 11:45:34.762 | INFO | controllers.cart_controllers | buy_cart | cart_controllers.py:772 | /api/v1/{'_id': ObjectId('64e6fd6e2f04d847a8f7cc5c'), 'userId': '64d9b2eab6a4174a1e6df918', 'createdAt': datetime.datetime(2023, 8, 24, 6, 49, 18, 927000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 43, 36, 411000), 'items': [{'itemId': '111', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 8, 24, 6, 49, 28, 497000), 'lastUpdated': datetime.datetime(2023, 8, 24, 6, 49, 28, 497000)}, {'itemId': '112', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 112, 'addedOn': datetime.datetime(2023, 8, 25, 4, 41, 6, 250000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 41, 6, 250000)}, {'itemId': '456', 'itemType': 'TIER', 'price': 56, 'currency': 'USD', 'quantity': 112, 'addedOn': datetime.datetime(2023, 8, 25, 4, 41, 14, 129000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 41, 14, 129000)}, {'itemId': '455', 'itemType': 'TIER', 'price': 56, 'currency': 'USD', 'quantity': 112, 'addedOn': datetime.datetime(2023, 8, 25, 4, 41, 29, 365000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 41, 29, 365000)}, {'itemId': '64e48189c45915c712a4ee6b', 'itemType': 'MODEL', 'price': 99, 'currency': 'USD', 'quantity': 3, 'addedOn': datetime.datetime(2023, 8, 25, 4, 42, 15, 277000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 42, 22, 279000)}, {'itemId': '64e483f8216de026b270f711', 'itemType': 'MODEL', 'price': 10, 'currency': 'USD', 'quantity': 54, 'addedOn': datetime.datetime(2023, 8, 25, 4, 43, 36, 411000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 43, 36, 411000)}], 'TimeOfOrder': datetime.datetime(2023, 8, 25, 6, 15, 32, 183739)}/order Api Executed for:64d9b2eab6a4174a1e6df918 , cart:{'_id': ObjectId('64e6fd6e2f04d847a8f7cc5c'), 'userId': '64d9b2eab6a4174a1e6df918', 'createdAt': datetime.datetime(2023, 8, 24, 6, 49, 18, 927000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 43, 36, 411000), 'items': [{'itemId': '111', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 8, 24, 6, 49, 28, 497000), 'lastUpdated': datetime.datetime(2023, 8, 24, 6, 49, 28, 497000)}, {'itemId': '112', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 112, 'addedOn': datetime.datetime(2023, 8, 25, 4, 41, 6, 250000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 41, 6, 250000)}, {'itemId': '456', 'itemType': 'TIER', 'price': 56, 'currency': 'USD', 'quantity': 112, 'addedOn': datetime.datetime(2023, 8, 25, 4, 41, 14, 129000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 41, 14, 129000)}, {'itemId': '455', 'itemType': 'TIER', 'price': 56, 'currency': 'USD', 'quantity': 112, 'addedOn': datetime.datetime(2023, 8, 25, 4, 41, 29, 365000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 41, 29, 365000)}, {'itemId': '64e48189c45915c712a4ee6b', 'itemType': 'MODEL', 'price': 99, 'currency': 'USD', 'quantity': 3, 'addedOn': datetime.datetime(2023, 8, 25, 4, 42, 15, 277000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 42, 22, 279000)}, {'itemId': '64e483f8216de026b270f711', 'itemType': 'MODEL', 'price': 10, 'currency': 'USD', 'quantity': 54, 'addedOn': datetime.datetime(2023, 8, 25, 4, 43, 36, 411000), 'lastUpdated': datetime.datetime(2023, 8, 25, 4, 43, 36, 411000)}], 'TimeOfOrder': datetime.datetime(2023, 8, 25, 6, 15, 32, 183739)}
2023-08-25 11:45:34.773 | DEBUG | main | logging_middleware | main.py:119 | Request POST /api/v1/orders finished at 1692944134.7733414, elapsed time: 6.28 seconds with request id ikarus-11939416447805572864
2023-08-25 11:45:34.775 | INFO | main | add_process_time_header | main.py:130 | Time to execute the api POST http://localhost:8004/api/v1/orders is 6278.037309646606 ms
2023-08-25 11:46:04.713 | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-11271394474584459044
2023-08-25 11:46:04.715 | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
2023-08-25 11:46:04.814 | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
2023-08-25 11:46:04.815 | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
2023-08-25 11:46:04.817 | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/orders started at 1692944164.8173788 with request id ikarus-11271394474584459044
2023-08-25 11:46:04.820 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:98 | /api/v1/my-orders Api called to get the order details for userId:64d9b2eab6a4174a1e6df918
2023-08-25 11:46:09.517 | INFO | services.m2m_calls | get_tier_details_list_from_campaign_service | m2m_calls.py:77 | Getting model details from model service with url: http://localhost:8002/api/v1/campaigns/tiers
2023-08-25 11:46:09.519 | DEBUG | services.m2m_calls | get_tier_details_list_from_campaign_service | m2m_calls.py:78 | Calling model service with url: http://localhost:8002/api/v1/campaigns/tiers
2023-08-25 11:46:24.498 | INFO | services.m2m_calls | get_model_details_list_from_model_service | m2m_calls.py:21 | Getting model details from model service with url: http://localhost:8002/api/v1/models
2023-08-25 11:46:24.500 | DEBUG | services.m2m_calls | get_model_details_list_from_model_service | m2m_calls.py:22 | Calling model service with url: http://localhost:8002/api/v1/models
2023-08-25 11:46:35.806 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:159 | Order details recieved succesfully
2023-08-25 11:46:35.808 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:160 | /api/v1/my-orders Api Executed to get the order details for userId:64d9b2eab6a4174a1e6df918
2023-08-25 11:46:35.814 | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/orders finished at 1692944195.8140776, elapsed time: 31.00 seconds with request id ikarus-11271394474584459044
2023-08-25 11:46:35.817 | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/orders?page_size=10&page_number=1 is 30999.64451789856 ms
2023-08-25 12:23:39.608 | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-11498896293798367219
2023-08-25 12:23:39.609 | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
2023-08-25 12:23:57.076 | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-11034019427500183557
2023-08-25 12:23:57.078 | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
2023-08-25 12:23:57.084 | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
2023-08-25 12:23:57.086 | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
2023-08-25 12:23:57.087 | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/orders started at 1692946437.0870683 with request id ikarus-11034019427500183557
2023-08-25 12:23:57.136 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:99 | /api/v1/my-orders Api called to get the order details for userId:64d9b2eab6a4174a1e6df918
2023-08-25 12:24:00.963 | INFO | services.m2m_calls | get_tier_details_list_from_campaign_service | m2m_calls.py:77 | Getting model details from model service with url: http://localhost:8002/api/v1/campaigns/tiers
2023-08-25 12:24:00.964 | DEBUG | services.m2m_calls | get_tier_details_list_from_campaign_service | m2m_calls.py:78 | Calling model service with url: http://localhost:8002/api/v1/campaigns/tiers
2023-08-25 12:24:18.334 | INFO | services.m2m_calls | get_model_details_list_from_model_service | m2m_calls.py:21 | Getting model details from model service with url: http://localhost:8002/api/v1/models
