[2023-10-19 09:30:10.428] | ERROR | services.m2m_calls | m2m_request | m2m_calls.py:54 | campaign service not found: {'detail': 'error in getting tiers'}
[2023-10-19 09:30:10.446] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/cart finished at 1697688010.4464977, elapsed time: 1.20 seconds with request id ikarus-10805666204039031241
[2023-10-19 09:30:10.453] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/cart?page_size=10&page_number=1 is 1205.5895328521729 ms
[2023-10-19 10:10:57.485] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-13450009295386096473
[2023-10-19 10:10:57.487] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:10:57.582] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:10:57.587] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:10:57.590] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/cart started at 1697690457.5904086 with request id ikarus-13450009295386096473
[2023-10-19 10:10:57.594] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:38 | /api/v1/cart Api called for getting cart details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:10:57.921] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:10:58.041] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:11:13.476] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-11281826318790996841
[2023-10-19 10:11:13.479] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:11:13.481] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:11:13.482] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:11:13.485] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/cart started at 1697690473.4850295 with request id ikarus-11281826318790996841
[2023-10-19 10:11:13.487] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:38 | /api/v1/cart Api called for getting cart details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:11:13.525] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:11:13.620] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:13:58.582] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-12522737143353750542
[2023-10-19 10:13:58.585] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:13:58.709] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:13:58.721] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:13:58.728] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/cart started at 1697690638.7285604 with request id ikarus-12522737143353750542
[2023-10-19 10:13:58.735] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:38 | /api/v1/cart Api called for getting cart details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:13:59.462] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:13:59.715] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:20:20.670] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-12855588020642952588
[2023-10-19 10:20:20.736] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:20:20.824] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:20:20.831] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:20:20.834] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/cart started at 1697691020.8345916 with request id ikarus-12855588020642952588
