[2023-10-19 10:38:10.731] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/cart started at 1697692090.7311904 with request id ikarus-12669172056151079354
[2023-10-19 10:38:10.736] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:38 | /api/v1/cart Api called for getting cart details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:38:10.771] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:38:10.888] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:38:11.910] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/models
[2023-10-19 10:38:12.021] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:38:13.153] | DEBUG | controllers.cart_controllers | get_cart_details | cart_controllers.py:129 | Cart details received successfully for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:38:13.159] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:130 | /api/v1/cart Api called Executed for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:38:13.164] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/cart finished at 1697692093.1648617, elapsed time: 2.43 seconds with request id ikarus-12669172056151079354
[2023-10-19 10:38:13.167] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/cart?page_size=10&page_number=1 is 2436.626672744751 ms
[2023-10-19 10:41:13.441] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-11546184051235797617
[2023-10-19 10:41:13.442] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:41:13.560] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:41:13.563] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:41:13.565] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/cart started at 1697692273.5655289 with request id ikarus-11546184051235797617
[2023-10-19 10:41:13.569] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:38 | /api/v1/cart Api called for getting cart details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:41:13.635] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
