[2023-10-19 10:45:51.372] | DEBUG | controllers.cart_controllers | buy_cart | cart_controllers.py:1046 | cart details recieved succesfully for cartId:{'_id': ObjectId('6530a9b6ca2d5a6cb37e91a8'), 'userId': '652f84b08cb4bfc08d45225a', 'createdAt': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000), 'items': [{'itemId': '111', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000), 'lastUpdated': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000)}, {'itemId': '112', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 3, 59, 56, 356000), 'lastUpdated': datetime.datetime(2023, 10, 19, 3, 59, 56, 356000)}, {'itemId': '455', 'itemType': 'TIER', 'price': 56, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 4, 0, 4, 215000), 'lastUpdated': datetime.datetime(2023, 10, 19, 4, 0, 4, 215000)}, {'itemId': '652f7a6d043c08db8d32c2e6', 'itemType': 'MODEL', 'price': 59.99, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 5, 4, 24, 769000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 4, 24, 769000)}, {'itemId': '652f7d05424b31762a0deef7', 'itemType': 'MODEL', 'price': 99.88, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000)}]}
[2023-10-19 10:45:51.619] | DEBUG | controllers.cart_controllers | buy_cart | cart_controllers.py:1052 | Cart ordered succcesfully with orderId:6530bb8756d14ea7147ab2b4
[2023-10-19 10:45:51.622] | INFO | controllers.cart_controllers | buy_cart | cart_controllers.py:1053 | /api/v1/{'_id': ObjectId('6530a9b6ca2d5a6cb37e91a8'), 'userId': '652f84b08cb4bfc08d45225a', 'createdAt': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000), 'items': [{'itemId': '111', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000), 'lastUpdated': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000)}, {'itemId': '112', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 3, 59, 56, 356000), 'lastUpdated': datetime.datetime(2023, 10, 19, 3, 59, 56, 356000)}, {'itemId': '455', 'itemType': 'TIER', 'price': 56, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 4, 0, 4, 215000), 'lastUpdated': datetime.datetime(2023, 10, 19, 4, 0, 4, 215000)}, {'itemId': '652f7a6d043c08db8d32c2e6', 'itemType': 'MODEL', 'price': 59.99, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 5, 4, 24, 769000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 4, 24, 769000)}, {'itemId': '652f7d05424b31762a0deef7', 'itemType': 'MODEL', 'price': 99.88, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000)}], 'TimeOfOrder': datetime.datetime(2023, 10, 19, 5, 15, 51, 434260)}/order Api Executed for:652f84b08cb4bfc08d45225a , cart:{'_id': ObjectId('6530a9b6ca2d5a6cb37e91a8'), 'userId': '652f84b08cb4bfc08d45225a', 'createdAt': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000), 'items': [{'itemId': '111', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000), 'lastUpdated': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000)}, {'itemId': '112', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 3, 59, 56, 356000), 'lastUpdated': datetime.datetime(2023, 10, 19, 3, 59, 56, 356000)}, {'itemId': '455', 'itemType': 'TIER', 'price': 56, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 4, 0, 4, 215000), 'lastUpdated': datetime.datetime(2023, 10, 19, 4, 0, 4, 215000)}, {'itemId': '652f7a6d043c08db8d32c2e6', 'itemType': 'MODEL', 'price': 59.99, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 5, 4, 24, 769000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 4, 24, 769000)}, {'itemId': '652f7d05424b31762a0deef7', 'itemType': 'MODEL', 'price': 99.88, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000)}], 'TimeOfOrder': datetime.datetime(2023, 10, 19, 5, 15, 51, 434260)}
[2023-10-19 10:45:51.627] | DEBUG | main | logging_middleware | main.py:119 | Request POST /api/v1/orders finished at 1697692551.6276448, elapsed time: 0.30 seconds with request id ikarus-9713593841871797127
[2023-10-19 10:45:51.629] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api POST http://localhost:8004/api/v1/orders is 302.25324630737305 ms
[2023-10-19 10:45:57.919] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-12617196608202783629
[2023-10-19 10:45:57.921] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:45:57.923] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:45:57.925] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:45:57.926] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/orders started at 1697692557.926438 with request id ikarus-12617196608202783629
[2023-10-19 10:45:57.928] | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:137 | /api/v1/my-orders Api called to get the order details for userId:652f84b08cb4bfc08d45225a
