[2023-10-19 10:57:49.701] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/models
[2023-10-19 10:57:49.821] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:57:51.093] | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:232 | Order details recieved succesfully
[2023-10-19 10:57:51.096] | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:233 | /api/v1/my-orders Api Executed to get the order details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:57:51.111] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/orders finished at 1697693271.1119013, elapsed time: 2.80 seconds with request id ikarus-10099348288067124820
[2023-10-19 10:57:51.116] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/orders?page_size=10&page_number=1 is 2808.6888790130615 ms
[2023-10-19 10:58:05.437] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-12808191699321929317
[2023-10-19 10:58:05.439] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:58:05.441] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:58:05.442] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:58:05.444] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/orders started at 1697693285.4444034 with request id ikarus-12808191699321929317
[2023-10-19 10:58:05.446] | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:137 | /api/v1/my-orders Api called to get the order details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:58:05.520] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:58:05.657] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:58:06.818] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/models
[2023-10-19 10:58:06.941] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:58:08.169] | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:232 | Order details recieved succesfully
[2023-10-19 10:58:08.174] | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:233 | /api/v1/my-orders Api Executed to get the order details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:58:08.178] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/orders finished at 1697693288.178108, elapsed time: 2.73 seconds with request id ikarus-12808191699321929317
[2023-10-19 10:58:08.180] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/orders?page_size=10&page_number=1 is 2736.6957664489746 ms
